Unnamed: 0,名称,类别,类型,申报单位,保护单位,Longitude,Latitude,Converted_Longitude,Converted_Latitude
2747,传统面食制作技艺（塔塔尔族传统糕点制作技艺）,传统技艺,扩展项目,新疆维吾尔自治区塔城地区塔城市,伊犁哈萨克自治州塔城地区塔塔尔族文化协会,81.33053775,43.92272314,81.32095136,43.91554823
2748,茶点制作技艺（富春茶点制作技艺）,传统技艺,新增项目,江苏省扬州市,扬州富春饮服集团有限公司富春茶社,119.4504732,32.40626647,119.4384797,32.40242074
2749,周村烧饼制作技艺,传统技艺,新增项目,山东省淄博市,山东周村烧饼有限公司,120.3075999,31.03605986,120.2964618,31.03252049
2750,月饼传统制作技艺（郭杜林晋式月饼制作技艺）,传统技艺,新增项目,山西省太原市,太原双合成食品有限公司,112.6039982,37.85864756,112.5912091,37.85229811
2751,月饼传统制作技艺（安琪广式月饼制作技艺）,传统技艺,新增项目,广东省安琪食品有限公司,深圳安琪食品有限公司,114.1291881,22.68577368,114.1176542,22.68210749
2752,素食制作技艺（功德林素食制作技艺）,传统技艺,新增项目,上海功德林素食有限公司,上海功德林素食有限公司,121.4727334,31.24151429,121.4616861,31.23735835
2753,素食制作技艺（绿柳居素食烹制技艺）,传统技艺,扩展项目,江苏省南京市,南京金都饮食服务有限公司,118.8024217,32.06465289,118.7908148,32.06037418
2754,同盛祥牛羊肉泡馍制作技艺,传统技艺,新增项目,陕西省西安市,西安饮食股份有限公司同盛祥饭庄,108.9777196,34.22650578,108.9665376,34.22176466
2755,火腿制作技艺（金华火腿腌制技艺）,传统技艺,新增项目,浙江省金华市,金华火腿行业协会,121.593955,31.27745485,121.5832688,31.2735913
2756,火腿制作技艺（宣威火腿制作技艺）,传统技艺,扩展项目,云南省宣威县,宣威市文化馆,104.106073,26.16058639,104.0971493,26.15806515
2757,烤鸭技艺（全聚德挂炉烤鸭技艺）,传统技艺,新增项目,北京市全聚德（集团）股份有限公司,中国全聚德（集团）股份有限公司,116.391435,39.9056331,116.3787832,39.89798981
2758,烤鸭技艺（便宜坊焖炉烤鸭技艺）,传统技艺,新增项目,北京便宜坊烤鸭集团有限公司,北京便宜坊烤鸭集团有限公司,116.4152521,39.87994651,116.402603,39.87222543
2759,牛羊肉烹制技艺（东来顺涮羊肉制作技艺）,传统技艺,新增项目,北京市东来顺集团有限责任公司,北京东来顺集团有限责任公司,116.3836064,39.91184277,116.370927,39.90432727
2760,牛羊肉烹制技艺（鸿宾楼全羊席制作技艺）,传统技艺,新增项目,北京市鸿宾楼餐饮有限责任公司,北京华天饮食控股集团有限公司,116.536955,39.85810506,116.5246565,39.85067176
2761,牛羊肉烹制技艺（月盛斋酱烧牛羊肉制作技艺）,传统技艺,新增项目,北京月盛斋清真食品有限公司,北京月盛斋清真食品有限公司,116.6817275,40.34448296,116.6691886,40.33738561
2762,牛羊肉烹制技艺（北京烤肉制作技艺）,传统技艺,新增项目,北京市聚德华天控股有限公司,北京华天饮食控股集团有限公司,116.536955,39.85810506,116.5246565,39.85067176
2763,牛羊肉烹制技艺（冠云平遥牛肉传统加工技艺）,传统技艺,新增项目,山西省冠云平遥牛肉集团有限公司,山西省平遥牛肉集团有限公司,112.1940527,37.22330513,112.1811415,37.21643064
2764,牛羊肉烹制技艺（烤全羊技艺）,传统技艺,新增项目,内蒙古自治区阿拉善盟,内蒙古阿拉善宾馆有限责任公司,113.6475125,41.20706607,113.6342797,41.19908161
2765,牛羊肉烹制技艺（宁夏手抓羊肉制作技艺）,传统技艺,扩展项目,宁夏回族自治区吴忠市,吴忠市文化馆,107.3969725,37.7923134,107.3852928,37.78529107
2766,天福号酱肘子制作技艺,传统技艺,新增项目,北京天福号食品有限公司,北京天福号食品有限公司,116.557153,40.10578507,116.5447707,40.09869502
2767,酱肉制作技艺（亓氏酱香源肉食酱制技艺） ,传统技艺,扩展项目,山东省莱芜市莱城区 ,山东省亓氏酱香源食品有限公司,117.5966155,36.20913002,117.5844584,36.20293519
2768,六味斋酱肉传统制作技艺,传统技艺,新增项目,山西省太原六味斋实业有限公司,太原六味斋实业有限公司,112.468385,37.55904895,112.4553827,37.55213817
2769,都一处烧麦制作技艺,传统技艺,新增项目,北京便宜坊烤鸭集团有限公司,北京便宜坊烤鸭集团有限公司,116.4152521,39.87994651,116.402603,39.87222543
2770,聚春园佛跳墙制作技艺,传统技艺,新增项目,福建省福州市,福州聚春园集团有限公司,119.3200483,26.05702481,119.3086957,26.05414603
2771,真不同洛阳水席制作技艺,传统技艺,新增项目,河南省洛阳市,洛阳酒家有限责任公司,112.4479881,34.67785956,112.4353146,34.67248159
2772,官式古建筑营造技艺（北京故宫）,传统技艺,新增项目,故宫博物院,故宫博物院,116.4034139,39.92409137,116.3908028,39.91634821
2773,木拱桥传统营造技艺,传统技艺,新增项目,浙江省庆元县,庆元县文化馆,119.0697818,27.62337432,119.0582394,27.62029746
2774,木拱桥传统营造技艺,传统技艺,新增项目,浙江省泰顺县,泰顺县非物质文化遗产保护中心（泰顺县廊桥申遗和保护研究中心）,119.7207762,27.56036987,119.7095583,27.55785957
2775,木拱桥传统营造技艺,传统技艺,新增项目,福建省寿宁县,寿宁县文化馆,119.5136029,27.4647477,119.5024027,27.46170111
2776,木拱桥传统营造技艺,传统技艺,新增项目,福建省屏南县,屏南县木拱廊桥保护协会,119.0778595,27.10143902,119.0663455,27.09858963
2777,石桥营造技艺,传统技艺,新增项目,浙江省绍兴市,绍兴市古桥学会,120.5900226,30.05765736,120.5794934,30.0540578
2778,婺州传统民居营造技艺（诸葛村古村落营造技艺）,传统技艺,新增项目,浙江省兰溪市,兰溪市诸葛旅游发展有限公司,119.3041069,29.25462044,119.2926249,29.25108062
2779,婺州传统民居营造技艺（俞源村古建筑群营造技艺）,传统技艺,新增项目,浙江省武义县,武义县文化馆（武义县非物质文化遗产保护馆）,119.8222387,28.89996086,119.8110269,28.89737074
2780,婺州传统民居营造技艺（东阳卢宅营造技艺）,传统技艺,新增项目,浙江省东阳市,东阳市非物质文化遗产保护中心,120.2535066,29.27003152,120.2427064,29.26638661
2781,婺州传统民居营造技艺（浦江郑义门营造技艺）,传统技艺,新增项目,浙江省浦江县,浦江县非物质文化遗产保护中心,119.8984361,29.45869285,119.8875005,29.45516115
2782,徽派传统民居营造技艺,传统技艺,新增项目,安徽省黄山市,安徽省徽州古典园林建设有限公司,118.3527482,29.82655388,118.3410372,29.82285267
2783,闽南传统民居营造技艺,传统技艺,新增项目,福建省泉州市鲤城区,泉州市鲤城区文化馆,118.5947002,24.90776679,118.5837613,24.90473523
2784,闽南传统民居营造技艺,传统技艺,新增项目,福建省惠安县,惠安县文化馆,118.800048,25.03783398,118.7890104,25.03433243
2785,闽南传统民居营造技艺,传统技艺,新增项目,福建省南安市,南安市博物馆,118.392572,24.96636235,118.3811114,24.96333167
2786,闽南传统民居营造技艺 ,传统技艺,扩展项目,福建省厦门市湖里区 ,厦门市湖里区闽南传统建筑营造技艺传习中心,118.1535881,24.51757314,118.1420953,24.51459434
2787,窑洞营造技艺,传统技艺,新增项目,山西省平陆县,平陆县文化馆,111.2249179,34.84136209,111.2124588,34.83616123
2788,窑洞营造技艺,传统技艺,新增项目,甘肃省庆阳市,庆阳市西峰区文化馆,107.6388201,35.74503613,107.6277097,35.73914467
2789,窑洞营造技艺（地坑院营造技艺）,传统技艺,扩展项目,河南省陕县,三门峡市陕州区文化馆,111.1157217,34.72685421,111.1032185,34.72146937
2790,窑洞营造技艺（陕北窑洞营造技艺）,传统技艺,扩展项目,陕西省延安市宝塔区,延安市宝塔区文化馆,109.4992895,36.60500175,109.4872935,36.59921151
2791,蒙古包营造技艺,传统技艺,新增项目,内蒙古自治区文学艺术界联合会,内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）,111.700452,40.82703497,111.6871207,40.81958505
